iteration,chain,θ[1],θ[2],θ[3],θ[4],θ[5],θ₂[1],θ₂[2],λ[1],λ[2],λ[3],λ[4],λ[5],μ,δ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,-0.41329754446921313,-0.27980075203244786,-0.20029931200572051,-0.06489853167599893,-0.23681714378066432,-3.9172897462474183,-4.089493914227594,0.3693697687483582,0.43354447085072656,0.47694257918507565,0.5610875988249266,0.4564936119710054,0.1410494313454364,0.12941293285656205,-26206.20628214986,7.0,1.0,0.8324499335381729,-26206.20628214986,26210.322417748157,0.2493591082529747,0.43752498447793187,3.0,0.0,0.25613454950248904,0.25613454950248904
502,1,-0.42848469159471964,-0.32395270481194766,-0.15180576212899632,-0.05218763689814108,-0.20235428816354353,-3.689811359418849,-4.045540611878532,0.36269913052920916,0.41117217054205896,0.5055203851872486,0.5697115127381304,0.47576790138661523,0.15804022658677616,0.13228847742607977,-26213.504671274066,7.0,1.0,0.6119166256526538,-26213.504671274066,26214.905988955325,1.0924201887064555,1.0924201887064555,3.0,0.0,0.25613454950248904,0.25613454950248904
503,1,-0.39579118389128964,-0.24602608508629484,-0.1765952831558761,-0.06772316634356318,-0.22189928693306457,-3.9042895275828036,-4.172668522555856,0.37721143218233977,0.45147679531204565,0.49070392370157834,0.5591889774100224,0.4647390822495462,0.1419692543066988,0.12414137258864785,-26206.97559211731,7.0,1.0,1.0,-26206.97559211731,26217.102048564182,-1.2807373565374292,-1.2898811104169,3.0,0.0,0.25613454950248904,0.25613454950248904
504,1,-0.3944853740084563,-0.2625856896918537,-0.14151661205305,-0.026257876012483722,-0.19349408730817377,-3.6249953264622974,-4.158434904715683,0.3778029752262256,0.44259381414832244,0.5118007271622658,0.5877171694058975,0.480853367430229,0.1632458939214327,0.1250280143039853,-26204.597301294118,31.0,1.0,0.9976113507623698,-26204.597301294118,26210.209164360465,-0.14921849353049765,-0.2538234775784076,4.0,0.0,0.25613454950248904,0.25613454950248904
505,1,-0.382891661107608,-0.25634091352499166,-0.15237281253505006,-0.04726936325476665,-0.19823096246023092,-3.7386839576582482,-4.160598772891539,0.38309587554706953,0.4459229515625017,0.5051765155477416,0.5730838511399078,0.47812783024495836,0.15422511182200427,0.12489281538471202,-26203.946688030705,23.0,1.0,0.91452593608659,-26203.946688030705,26205.85096140034,0.1302324308308016,0.24233434164852952,4.0,0.0,0.25613454950248904,0.25613454950248904
506,1,-0.38979741890823494,-0.2740729284030734,-0.16869267919158012,-0.037774465822096405,-0.20370950241829383,-3.758395194417268,-4.165332462283095,0.3799343126353551,0.43653465494420596,0.4953794645583966,0.5796508386841414,0.47499480924999526,0.15271259361940742,0.12459756303314153,-26203.951565130028,23.0,1.0,0.9660260324955914,-26203.951565130028,26204.780673562156,-0.07548683872664697,-0.3268048904828902,4.0,0.0,0.25613454950248904,0.25613454950248904
507,1,-0.396272479335693,-0.2660845586106522,-0.18034183593351652,-0.058749565011016656,-0.1943527475102805,-3.7908494070004224,-4.136405930751693,0.3769936349106313,0.440739416561002,0.48850273774685216,0.5652430417084051,0.4803581550259595,0.15025450787813047,0.1264127457939231,-26204.699945787408,7.0,1.0,0.9680056156945808,-26204.699945787408,26206.525817102152,0.009202717137668515,-0.15749980675172992,2.0,0.0,0.25613454950248904,0.25613454950248904
508,1,-0.43799076804236725,-0.25871992350204326,-0.17140893161582485,-0.039055773222112324,-0.18782932225139237,-3.7565033335913633,-4.097378992847011,0.35858522460747416,0.4446517407788267,0.4937674024404051,0.5787602704237756,0.4841332081405339,0.15285711745011982,0.12890372173360667,-26207.588957384018,7.0,1.0,0.9285445457289411,-26207.588957384018,26210.60481075218,0.07665890582211432,0.21766620464404696,3.0,0.0,0.25613454950248904,0.25613454950248904
509,1,-0.39759165884497305,-0.3296369503288269,-0.17552660381893315,-0.07497136321873334,-0.2466140639952893,-3.9170716592560186,-4.141054488500658,0.37639732028881295,0.4083770699218504,0.49133361354977767,0.5543463340408554,0.45115835706598734,0.14106481270710025,0.12611926851305133,-26208.49337752412,15.0,1.0,0.7400159797997886,-26208.49337752412,26212.673570681665,0.40858188628044445,0.9005389123631176,3.0,0.0,0.25613454950248904,0.25613454950248904
510,1,-0.4720217527888219,-0.2721454405513382,-0.21090682229089566,-0.061942426318573524,-0.22108113074238522,-4.067615855540891,-4.1085484320473045,0.3442365876020097,0.4375455218468605,0.4709100467509285,0.5630814941010249,0.46519558129402094,0.13083635596591706,0.12818583705048608,-26209.31945279343,7.0,1.0,0.9906645099730008,-26209.31945279343,26211.5780730659,-0.13557944633430452,-0.36546720741534955,3.0,0.0,0.25613454950248904,0.25613454950248904
