iteration,chain,θ[1],θ[2],θ[3],θ[4],θ[5],θ[6],θ[7],θ₂[1],θ₂[2],λ[1],λ[2],λ[3],λ[4],λ[5],λ[6],λ[7],μ,δ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,-0.8156904070928792,-0.563567184130611,-0.4259310539397964,-0.33091677801692254,-0.33296216599733824,-0.24929940153874564,-0.6396877675241892,-5.893639232832129,-4.3737115651305025,0.22790452482143828,0.30842375275275635,0.36381227779155206,0.40775036854936975,0.40675078652761576,0.4497068819731921,0.2814992991709746,0.05250643127473088,0.11226919300009999,-22845.990034656767,3.0,1.0,0.85494434975831,-22845.990034656767,22851.70097828903,-0.3591805308860785,0.4901176735802437,2.0,0.0,0.3789286695650355,0.3789286695650355
502,1,-0.8156904070928792,-0.563567184130611,-0.4259310539397964,-0.33091677801692254,-0.33296216599733824,-0.24929940153874564,-0.6396877675241892,-5.893639232832129,-4.3737115651305025,0.22790452482143828,0.30842375275275635,0.36381227779155206,0.40775036854936975,0.40675078652761576,0.4497068819731921,0.2814992991709746,0.05250643127473088,0.11226919300009999,-22845.990034656767,7.0,1.0,0.5819478166775579,-22845.990034656767,22849.659554713005,0.0,1.2483532239275519,2.0,0.0,0.3789286695650355,0.3789286695650355
503,1,-0.7879165741117217,-0.5871490483955292,-0.46018031973699597,-0.33297273467461824,-0.3375630429222529,-0.23259992676739363,-0.6442077114083802,-5.851519872661493,-4.343988482092049,0.23562825915120564,0.2998182389594337,0.34916301166833424,0.40674562797897185,0.40451128205748393,0.4588096264618443,0.2799765991723021,0.05362392565550918,0.11395014611184523,-22846.10297965425,7.0,1.0,0.7891124393208448,-22846.10297965425,22848.867497254665,-0.18783902137511177,0.5118894476399873,3.0,0.0,0.3789286695650355,0.3789286695650355
504,1,-0.8547744458035009,-0.6411599981437326,-0.4388287981854365,-0.36031217735954285,-0.34784555472136297,-0.2686917309515824,-0.6449821059054998,-6.302506175618229,-4.388173369080265,0.21746239608497492,0.2810024199475515,0.35822479959356823,0.39361790959025916,0.39955067903421565,0.4393626709920701,0.27971654521636213,0.04279846301904737,0.11146031345946723,-22848.64394056163,15.0,1.0,0.8918712336036106,-22848.64394056163,22850.811842640316,0.14961741731895017,0.2235907906688226,3.0,0.0,0.3789286695650355,0.3789286695650355
505,1,-0.8270302150791844,-0.5481293584963923,-0.46864280131148006,-0.32717997902292123,-0.3548277664970065,-0.23690486979346284,-0.7166610644467467,-6.051673169509878,-4.247496775892966,0.22482425787335544,0.3141906756139466,0.3456352116870173,0.40958289154116395,0.39621696759712605,0.4564455588630189,0.2566625024034965,0.04851721552444451,0.11958254559625738,-22851.61878410266,7.0,1.0,0.9604558042125849,-22851.61878410266,22853.078657386424,0.13549609115943895,0.15679932084094617,3.0,0.0,0.3789286695650355,0.3789286695650355
506,1,-0.818180488404639,-0.6023898988768395,-0.46335475035641516,-0.3182235792529696,-0.3478140171697129,-0.2405427284699939,-0.711501057807066,-6.267313612089285,-4.253965061378395,0.22722454029968978,0.29438469556491703,0.34783546928188264,0.4140086982534244,0.3995658003405595,0.45445732045470144,0.25825668917842215,0.04355822169375637,0.11919642329813561,-22852.086472580926,7.0,1.0,0.5818472195739727,-22852.086472580926,22857.30871040184,0.6863949605467496,1.128704084250785,3.0,0.0,0.3789286695650355,0.3789286695650355
507,1,-0.797561061760481,-0.5919731673199372,-0.4631343961597066,-0.34087246958726897,-0.34633250828754264,-0.25293025431731503,-0.6748839695360017,-5.828569998170903,-4.3454076568158335,0.23291696225402658,0.2980876224039551,0.3479274578498912,0.40290802716952095,0.4002767844895558,0.44775176094176855,0.26985762781589057,0.054242800823300345,0.11386931720925393,-22847.34328224361,7.0,1.0,1.0,-22847.34328224361,22855.845756322447,-0.17718461299227783,-1.20444817774478,3.0,0.0,0.3789286695650355,0.3789286695650355
508,1,-0.8154882371495425,-0.6069616542841358,-0.46449526453951595,-0.3458453802818094,-0.35195766459346195,-0.2574326841250629,-0.6953160561302077,-6.09779861663243,-4.33867328350193,0.2279598220626743,0.29277409178787944,0.34735974135748554,0.4005108361288798,0.397583939943337,0.4453391194103824,0.2633215770351045,0.047411080664093504,0.11425338270202236,-22846.438748712335,15.0,1.0,0.8753480711977434,-22846.438748712335,22850.07811682587,-0.8383170569795766,3.4414735901591484,3.0,0.0,0.3789286695650355,0.3789286695650355
509,1,-0.8307245240105722,-0.5571621328868482,-0.4498297519742295,-0.3440887314397528,-0.33891654971452195,-0.25751717037469496,-0.6305484140551614,-6.16297305085872,-4.389779451145605,0.22382977953156913,0.31080345021754235,0.3535268992896072,0.40135599488002455,0.40385480480827474,0.4452939716606234,0.28460355651479236,0.04589098779958277,0.11137084218360604,-22846.995292321557,7.0,1.0,0.8537611751117918,-22846.995292321557,22849.390562391207,0.14414042780117597,0.2745576818633708,3.0,0.0,0.3789286695650355,0.3789286695650355
510,1,-0.7551313072238305,-0.5755645900503977,-0.4445987319932746,-0.3163924613999822,-0.29919431289117876,-0.23111773375793745,-0.6583830835204435,-5.610066557713093,-4.352393353497106,0.24508319156431868,0.30401522151375693,0.355753046520947,0.414919416929321,0.4235714036384097,0.459626405926622,0.27525434985273356,0.060504757609927164,0.11347228274782135,-22847.938728737587,7.0,1.0,0.9110263310656138,-22847.938728737587,22851.646712059013,-0.27958425005635945,0.5153767023148248,3.0,0.0,0.3789286695650355,0.3789286695650355
