iteration,chain,log_λ_xscale_base,λ_xshift_base,log_λ_yscale_base,log_λ_yshift_base,log_μ_base,log_δ_base,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1001,1,1.5661191803200094,-1.3199257751295352,-1.8506311757618208,-1.508813074222801,-4.637962308108278,-6.152511063130804,-342.25455474978196,31.0,1.0,0.8509385871542976,-342.25455474978196,344.6758234311579,0.14026314324235045,0.41446908508169145,5.0,0.0,0.09195022480465945,0.09195022480465945
1002,1,-0.9629208790907748,-0.8321348609196535,-1.8566696415015,-0.19047642680032442,-1.7158813356272802,-5.851214119079969,-336.3985450909637,31.0,1.0,0.9702906528938252,-336.3985450909637,347.03253627901324,-0.35766489569692794,0.6361498001791688,5.0,0.0,0.09195022480465945,0.09195022480465945
1003,1,-2.133246008739151,1.272638843247106,-0.9346051562372577,-0.4824245421277444,-2.7209621748844954,-5.928268840547465,-337.0463395694262,31.0,1.0,0.9811610205993935,-337.0463395694262,340.9201534353185,0.011259358252402762,0.04510645396169366,5.0,0.0,0.09195022480465945,0.09195022480465945
1004,1,1.0707469933555718,-1.7847168455069409,-1.9527397696207744,-0.581817813639677,-2.6051838032175403,-4.640681965054497,-338.13556431756797,31.0,1.0,0.916957549755462,-338.13556431756797,340.1273867873599,0.07221699194298026,0.21398249106903222,5.0,0.0,0.09195022480465945,0.09195022480465945
1005,1,0.21788470186088732,-2.4115288021202277,-1.2033889996854292,-2.1558326087763073,-2.505636723854452,-5.965070040868853,-339.17475039193687,63.0,1.0,0.8948725495205254,-339.17475039193687,342.21268862089687,0.16228224911446887,0.671631176526148,5.0,0.0,0.09195022480465945,0.09195022480465945
1006,1,-0.5287809802526675,-0.6287575465061174,-1.0816395306768416,-3.2501312509843974,-3.6301890263933294,-5.417759584479409,-340.5150255465537,31.0,1.0,0.8331709876368804,-340.5150255465537,343.9123271143356,-0.5433036049863063,0.6599986586243176,5.0,0.0,0.09195022480465945,0.09195022480465945
1007,1,-1.602357826944613,-1.3057856319444376,-0.9670612550834085,-1.4528440470724975,-2.393297906794327,-5.5776880620533005,-336.234415917357,63.0,1.0,0.9223539112642214,-336.234415917357,343.3006825291224,-0.08115390442077342,111.13911988002025,5.0,0.0,0.09195022480465945,0.09195022480465945
1008,1,0.7384507378133588,-0.997577784044503,-1.6488939963838962,-0.46990687415883725,-1.4805650858687172,-5.395131397499321,-335.57715464133395,31.0,1.0,0.6763765988596065,-335.57715464133395,339.84092591545186,0.30620289304778225,0.8557050432933693,5.0,0.0,0.09195022480465945,0.09195022480465945
1009,1,1.517754440061519,-0.9246073884574102,-1.5043245699613088,-0.671420075210388,-1.5560339055694494,-4.794466461573837,-336.77048855555717,31.0,1.0,0.9729776690592269,-336.77048855555717,339.22159785770117,0.08112303566849732,-0.211879710241476,5.0,0.0,0.09195022480465945,0.09195022480465945
1010,1,-1.515296483936051,-1.2936110412352873,-1.2585191649783405,-1.630739475888155,-3.469042170893709,-5.5424814239687015,-337.13595814352317,63.0,1.0,0.9624746894762587,-337.13595814352317,339.756477092103,0.010224138446062625,-0.4952394461893732,6.0,0.0,0.09195022480465945,0.09195022480465945
