iteration,chain,log_λ_xscale_base,λ_xshift_base,log_λ_yscale_base,log_λ_yshift_base,log_μ_base,log_δ_base,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1001,1,-0.8451428384191911,0.9850818054751397,-1.1164251079320806,-0.4462794908500871,-3.323689369335223,-4.981486035775957,-411.06615671908116,31.0,1.0,0.9743672866811923,-411.06615671908116,414.0723833240179,0.04409158117783818,0.059653912481792304,4.0,0.0,0.11316197227486899,0.11316197227486899
1002,1,-0.9951556123737205,0.358463254717044,-1.473581195306853,-0.4413079546178438,-2.8483349885723075,-5.495964694093054,-409.885885718667,31.0,1.0,0.8492091932759572,-409.885885718667,413.45242803737017,0.1424603990083142,0.49407073671591206,5.0,0.0,0.11316197227486899,0.11316197227486899
1003,1,-1.3672725365935061,0.38769610490770895,-1.6324462753238218,-0.6673909957257215,-3.888702048171607,-5.041667983261675,-410.24808052776524,31.0,1.0,0.9970514928757837,-410.24808052776524,411.2838253231013,-0.047336164822979754,-0.1947436115441974,5.0,0.0,0.11316197227486899,0.11316197227486899
1004,1,-1.8954950242661517,0.5549460601812576,-1.3976143558976988,-0.7701539959225694,-3.930707853986782,-5.100417632143705,-410.61897161525303,15.0,1.0,0.9933045527909983,-410.61897161525303,411.2887305101341,-0.04620396458903997,-0.07183224452944614,4.0,0.0,0.11316197227486899,0.11316197227486899
1005,1,-0.8197267031341489,0.6837103645380331,-2.0331658952039766,-0.20357562409468466,-2.626250177360308,-5.432338451359995,-409.93732964097893,31.0,1.0,0.9949008525924807,-409.93732964097893,411.64127983062156,-0.015737577323875485,-0.04717579845890896,5.0,0.0,0.11316197227486899,0.11316197227486899
1006,1,-0.5424953091674302,-0.5150702141477554,-2.1612658792764017,-0.6469221946094046,-3.5427131541051,-5.254346742427424,-409.03056542463315,31.0,1.0,0.7920394067579469,-409.03056542463315,411.1867021308817,0.2054903525954046,0.6433977987666708,5.0,0.0,0.11316197227486899,0.11316197227486899
1007,1,0.5544978004745738,-0.9261317111976934,-2.621171470228478,-0.5859443455957407,-3.7625512550803695,-5.319010549089686,-410.2904454375896,31.0,1.0,0.9541305234190439,-410.2904454375896,411.39674841731227,-0.04272970017524358,0.16394971971249106,4.0,0.0,0.11316197227486899,0.11316197227486899
1008,1,-1.032825899591936,-0.8770000033577919,-1.7676767178168247,-0.8384113504847472,-3.372811390387086,-4.776824828449842,-409.58534042171596,31.0,1.0,0.9637956228057072,-409.58534042171596,412.9632050921804,-0.0050650243229029,0.11386420746748627,4.0,0.0,0.11316197227486899,0.11316197227486899
1009,1,0.26311816563624046,-1.1422279605777823,-1.6705385540882,-1.2676357120566364,-3.078081960658791,-4.840318421623326,-408.4883002489643,31.0,1.0,0.9744129822971298,-408.4883002489643,411.06847674174594,0.0310983693220237,0.11746939167647952,5.0,0.0,0.11316197227486899,0.11316197227486899
1010,1,-0.6621010257594099,-1.000546374387987,-1.2473111374935324,-1.4926270372381238,-2.463891189517885,-5.003928352226719,-409.22057977565476,31.0,1.0,0.6883760475868116,-409.22057977565476,411.28589555630595,-0.602421364502959,1.1898361382036455,4.0,0.0,0.11316197227486899,0.11316197227486899
1011,1,-1.6834896400244406,-0.20823885522221225,-0.8213381955886591,-1.5607020026139922,-2.762009270741308,-5.239836692173381,-410.33274275938965,63.0,1.0,0.8702110654492737,-410.33274275938965,413.0175389671587,-0.06597888409316965,0.32848975647988254,6.0,0.0,0.11316197227486899,0.11316197227486899
1012,1,-1.7467101897859045,-0.10765295641693581,-0.9020132339318193,-1.6408088204845557,-3.4289886217267296,-5.216952960953682,-410.46370626704845,31.0,1.0,0.9785935013501004,-410.46370626704845,411.4375496612293,0.019370306228836398,0.03909617196336512,5.0,0.0,0.11316197227486899,0.11316197227486899
1013,1,-1.9656352515790316,0.8794691308025863,-1.0284789508088743,-0.7121969776581051,-3.322168156675918,-5.065250731301773,-410.56080356561176,31.0,1.0,0.7217123009242128,-410.56080356561176,412.7759210096152,0.2728644125577375,0.8258433024735723,5.0,0.0,0.11316197227486899,0.11316197227486899
1014,1,-1.3897547955603076,0.8024039492533528,-1.7335220530118796,-0.47249480771155417,-3.6865932514240187,-4.684771840603923,-411.5255319204447,15.0,1.0,0.9154090406965466,-411.5255319204447,414.5331653217856,-0.2946364953346574,-0.4231937815770834,4.0,0.0,0.11316197227486899,0.11316197227486899
1015,1,-0.966829889170789,-0.16343020960677307,-1.62338231815466,-0.7145588403308194,-3.0560763759595697,-5.822134120619362,-410.9288174219064,31.0,1.0,0.9042922967213352,-410.9288174219064,413.3223877300644,0.09602534307879296,0.2447405831211995,5.0,0.0,0.11316197227486899,0.11316197227486899
1016,1,-1.181795176884739,-0.016394949917864776,-2.0307343063375294,-0.4230321198524682,-3.3193718625943607,-4.597154851427301,-411.3074625265023,31.0,1.0,0.9986854997636538,-411.3074625265023,412.69226473089844,-0.049106574366192035,-0.13290898232310155,5.0,0.0,0.11316197227486899,0.11316197227486899
1017,1,0.2751877798793998,-0.47140421467560095,-2.2724278174434636,-0.4606356562526717,-2.6087276730882376,-5.175243925420686,-408.8407288276043,31.0,1.0,0.7301829066469401,-408.8407288276043,413.3701583257933,-0.10273933784162637,1.0529007896788585,5.0,0.0,0.11316197227486899,0.11316197227486899
1018,1,0.1268540214863997,-0.8617066597243591,-2.3894139930640677,-0.4711509644098027,-2.782243363776677,-5.300314717538811,-408.84388513543,31.0,1.0,0.8749056379654498,-408.84388513543,409.77813410444,-0.07702918986478835,0.3393184701950531,5.0,0.0,0.11316197227486899,0.11316197227486899
1019,1,-0.7017976321907824,-0.9534947323241345,-1.8049895071188269,-0.42558858563538815,-2.1624413235136304,-5.345517873595637,-410.8358732888001,31.0,1.0,0.7884620628251839,-410.8358732888001,412.4943913573923,0.6148532333846219,0.6681216980042564,5.0,0.0,0.11316197227486899,0.11316197227486899
1020,1,0.7620828589304809,-0.940641237280848,-1.7235379176818977,-1.192536748364878,-3.156258700733557,-4.968770504029798,-408.3537800650364,31.0,1.0,1.0,-408.3537800650364,410.70318979246485,-0.4911116208156727,-0.727904627047451,5.0,0.0,0.11316197227486899,0.11316197227486899
1021,1,-0.7179157765662832,0.07030460849824903,-2.658213234603575,-0.4861995116039369,-4.117527221642087,-5.399035174771625,-412.9435053459119,63.0,1.0,0.526151305898563,-412.9435053459119,415.7142128088951,0.43660098455029583,2.745818282474147,5.0,0.0,0.11316197227486899,0.11316197227486899
1022,1,-0.7652736174674306,-0.26787770876165323,-2.6919182756581623,-0.31099080257810013,-3.7094387239048148,-5.226550189725681,-411.8620141268617,31.0,1.0,0.989763644162775,-411.8620141268617,413.7012106039934,-0.08316374686290828,-0.6695065844914438,5.0,0.0,0.11316197227486899,0.11316197227486899
1023,1,0.33710557542683395,-0.7292708715080566,-1.87325294170405,-1.2617231419497976,-4.063481864055625,-4.505139464677058,-411.020110716789,47.0,1.0,0.9734269783873499,-411.020110716789,414.8888788980904,-0.4551891735068807,-0.9253092830903711,5.0,0.0,0.11316197227486899,0.11316197227486899
1024,1,-0.32475486331171427,-0.8165291442967312,-1.9048979243012967,-0.7001353400528264,-2.9349687699313116,-4.812918316781555,-408.51445923771655,31.0,1.0,0.9721319195838873,-408.51445923771655,412.48773167246975,0.02076517598521832,0.0984683114303948,5.0,0.0,0.11316197227486899,0.11316197227486899
1025,1,-0.6195528895778725,-1.098935986573528,-1.9877288029113511,-0.6588844380814326,-2.7679949311534338,-4.849181700425283,-409.0017153981962,31.0,1.0,0.9264406402210575,-409.0017153981962,409.7470831555584,-0.03251061535689814,0.19254241552761187,5.0,0.0,0.11316197227486899,0.11316197227486899
1026,1,-1.0945727196674266,-0.5974334725178643,-1.0167363141485615,-1.5420336341033154,-2.938822991719271,-5.149060898916574,-411.827563632075,31.0,1.0,0.6467490062715745,-411.827563632075,414.48869881970177,0.5409343492202652,1.8269318148917364,5.0,0.0,0.11316197227486899,0.11316197227486899
1027,1,-1.7687082892002406,-0.6658434375652859,-0.9772281049577565,-1.6913073889192138,-3.054004319894232,-4.449408409776499,-413.25659478086766,15.0,1.0,1.0,-413.25659478086766,415.7029851507028,-1.0159918247379096,-1.1772581163688187,3.0,0.0,0.11316197227486899,0.11316197227486899
