iteration,chain,log_λ_xscale_base,λ_xshift_base,log_λ_yscale_base,log_λ_yshift_base,log_μ_base,log_δ_base,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,2.1069985704911227,0.15005159121609735,-3.0493201945439945,-0.4587344015186327,-4.316394026497458,-4.115977393225665,-26538.633366917715,31.0,1.0,0.9997603414362297,-26538.633366917715,26540.690095341128,-0.0036595997007680126,-0.06522173619305249,5.0,0.0,0.16738471181052528,0.16738471181052528
502,1,1.8044334653933127,0.15928495202302329,-3.0850423051949005,-0.40386189249086546,-4.022375440112767,-4.0952674203372,-26540.719602199082,15.0,1.0,0.7454503038379897,-26540.719602199082,26542.813891184098,0.5724654135483433,0.8302683144611365,4.0,0.0,0.16738471181052528,0.16738471181052528
503,1,1.8926827826351251,0.12452679284363524,-3.041979621765174,-0.5514866051366287,-5.350437722753746,-4.201326871437461,-26544.034501820912,31.0,1.0,0.8331987063429607,-26544.034501820912,26546.89078241018,-0.0673890972720983,1.3669302092421276,4.0,0.0,0.16738471181052528,0.16738471181052528
504,1,1.5913119383539323,0.0986081493980338,-2.979236105041235,-0.5063403755509723,-4.472426177034284,-4.0752951641018775,-26537.80922607483,15.0,1.0,0.9775965631842989,-26537.80922607483,26544.7131364339,-0.31645854141606833,-0.34507012154790573,4.0,0.0,0.16738471181052528,0.16738471181052528
505,1,1.8298390744743802,0.14217746373814075,-3.104626647947977,-0.44951117979009136,-4.281898302811095,-4.13887085161715,-26537.63123763393,31.0,1.0,0.8727958300344577,-26537.63123763393,26539.552464200307,-0.09501690304387012,0.340939553854696,5.0,0.0,0.16738471181052528,0.16738471181052528
506,1,2.0011865321974875,0.15049264838051118,-3.1457481970346977,-0.4395625370020359,-4.342849967880864,-4.184484551222046,-26539.535914692537,15.0,1.0,0.8763942230801646,-26539.535914692537,26540.513591398816,0.07769516380722052,0.23507741381035885,4.0,0.0,0.16738471181052528,0.16738471181052528
507,1,1.9832677919632429,0.1691799333935155,-3.1299630405097543,-0.4226685521705095,-4.162722060655227,-4.151238063806058,-26538.823427995983,15.0,1.0,0.7650642979270946,-26538.823427995983,26540.690306456374,-0.21595003629045095,0.7124057800647279,4.0,0.0,0.16738471181052528,0.16738471181052528
508,1,1.9902827784286032,0.16839831530245825,-3.100893864480005,-0.4214039468139115,-4.1477772156963715,-4.156942186933634,-26539.08347247938,15.0,1.0,0.9128971727502992,-26539.08347247938,26541.49574837731,0.14659277876853594,0.14659277876853594,4.0,0.0,0.16738471181052528,0.16738471181052528
509,1,1.5783419856690961,0.08182708820038902,-3.004427477986055,-0.4706676200869201,-4.250920569014223,-4.116517683881642,-26537.6750755808,31.0,1.0,0.9997936132420404,-26537.6750755808,26540.040194102687,-0.04129901002306724,-0.15048017963999882,4.0,0.0,0.16738471181052528,0.16738471181052528
510,1,1.7232647017611622,0.11040065191658179,-3.064837395766239,-0.46547003926282093,-4.362400824096563,-4.186528116193114,-26538.91815696434,15.0,1.0,0.7792905515234009,-26538.91815696434,26544.068066704764,0.016952818677964387,0.5100664365818375,3.0,0.0,0.16738471181052528,0.16738471181052528
511,1,1.5272385576301775,0.08801643103847932,-2.979330473639719,-0.48347255501575476,-4.2882581459952975,-4.148121651358575,-26537.82859679152,31.0,1.0,0.9996875192708072,-26537.82859679152,26540.84793536518,-0.08980173108284362,-0.09294528904138133,4.0,0.0,0.16738471181052528,0.16738471181052528
512,1,1.707998832744403,0.13873131678975023,-2.9903198837848106,-0.44482066026303174,-4.085545074635458,-4.134726952817574,-26538.01585134932,31.0,1.0,0.9854341869457595,-26538.01585134932,26540.041636704536,0.011094995406892849,0.03264790059256484,4.0,0.0,0.16738471181052528,0.16738471181052528
