iteration,chain,log_λ_xscale_base,λ_xshift_base,log_λ_yscale_base,log_λ_yshift_base,log_μ_base,log_δ_base,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,1.9297104703010175,0.08280034432571987,-3.089855169014836,-0.4569334787308813,-4.431352952435162,-3.999214609038426,-26152.360570643123,31.0,1.0,0.5665153576911011,-26152.360570643123,26157.3601878211,0.12465796184915234,1.9603635498897347,4.0,0.0,0.15720419170174837,0.15720419170174837
502,1,1.6456316515898939,0.08569435278723124,-2.9967789550988173,-0.42910634529068215,-4.036689003315496,-3.983662297704839,-26152.806911967364,31.0,1.0,0.6631453130206598,-26152.806911967364,26156.027083234116,-0.1835220838074747,1.1632680463444558,4.0,0.0,0.15720419170174837,0.15720419170174837
503,1,1.9791655875656442,0.14304846734198076,-3.1569219633159897,-0.39333793576925347,-4.2329227400580995,-4.1332008573200625,-26153.180717403313,31.0,1.0,0.7673044696050926,-26153.180717403313,26155.561637212446,0.13954901995020919,0.9257201181862911,5.0,0.0,0.15720419170174837,0.15720419170174837
504,1,1.8880759961180298,0.16797467286667686,-3.1802118972881437,-0.39894063937027724,-4.262622707402747,-4.139870598594911,-26154.451742841477,7.0,1.0,0.9945409945773344,-26154.451742841477,26155.05829949604,-0.2313538897797116,-0.32025757508017705,3.0,0.0,0.15720419170174837,0.15720419170174837
505,1,2.018543200247718,0.06952218668895567,-3.068283920595797,-0.40180063220671436,-3.9340125329306304,-3.9777542161910677,-26153.23857352873,31.0,1.0,0.5791791561229421,-26153.23857352873,26158.184939229242,-0.32057586981682107,1.8277871623067767,4.0,0.0,0.15720419170174837,0.15720419170174837
506,1,1.7889696193886755,0.09559952224128485,-3.1022308969334946,-0.39000055416337437,-3.936805878662398,-4.029885304686558,-26150.84697593954,15.0,1.0,0.9728145850667782,-26150.84697593954,26155.275886605523,0.023191159729321953,0.0539197046055051,4.0,0.0,0.15720419170174837,0.15720419170174837
507,1,1.7706022549374805,0.11590882794374399,-3.1476894158296767,-0.4109228051001153,-4.243981654621747,-4.006856722627275,-26152.039820893286,31.0,1.0,0.9818553095824024,-26152.039820893286,26153.473260956216,0.018209529716841644,0.08685340578085743,5.0,0.0,0.15720419170174837,0.15720419170174837
508,1,1.7950285776641262,0.07874054877146838,-3.131037932520577,-0.41887592075257424,-4.2307126096574095,-4.0184948836612335,-26151.179121462068,15.0,1.0,0.9983032635123199,-26151.179121462068,26153.129676002365,-0.04252709682259592,-0.04252709682259592,4.0,0.0,0.15720419170174837,0.15720419170174837
509,1,1.998576875663313,0.10979327903228153,-3.1539419832932074,-0.4269716100208967,-4.385468775954332,-4.018675158941999,-26151.331561196956,31.0,1.0,0.9946591792545574,-26151.331561196956,26152.696812405156,-0.003549831330019515,0.02049475027160952,5.0,0.0,0.15720419170174837,0.15720419170174837
510,1,1.6826552832192858,0.08845327207605667,-3.071471839529372,-0.40656191886328474,-4.052233076155872,-4.05964132704708,-26150.38527760172,31.0,1.0,0.9573386259754274,-26150.38527760172,26153.813717105226,-0.018944257019029465,0.09943935024784878,5.0,0.0,0.15720419170174837,0.15720419170174837
511,1,1.6829876733159357,0.08088313549846338,-2.9145189456670217,-0.4867350783968344,-4.266506676813246,-4.044706665879788,-26155.042417849454,31.0,1.0,0.5296243332924608,-26155.042417849454,26156.506740706813,1.367343726389663,1.5572913253454317,4.0,0.0,0.15720419170174837,0.15720419170174837
512,1,1.690227145856683,0.08618867179235386,-3.033982864057671,-0.44376372401590597,-4.4917444799210715,-4.04397849501134,-26153.86812475074,15.0,1.0,0.8373205627995958,-26153.86812475074,26160.394704856742,0.26671908437492675,-1.064276246845111,4.0,0.0,0.15720419170174837,0.15720419170174837
513,1,1.9644466782688896,0.11485096871828417,-3.0836498430832493,-0.38126951154294436,-3.894502639587522,-4.006226016663805,-26151.736852624723,15.0,1.0,0.9482054200836193,-26151.736852624723,26154.466787237307,-1.8717731512260798,-1.907123162469361,4.0,0.0,0.15720419170174837,0.15720419170174837
514,1,1.7191776032478059,0.06699846801976767,-3.1604066709725758,-0.4085085033040467,-4.152883945654129,-4.038309465860118,-26152.03207977549,23.0,1.0,0.9591099828370221,-26152.03207977549,26153.763582901753,0.05305106659579906,0.09885837117326446,4.0,0.0,0.15720419170174837,0.15720419170174837
515,1,1.7532839116692729,0.08510757158675562,-3.203250127813082,-0.40754476539536183,-4.304107904534979,-4.0420919070084995,-26152.49546816112,15.0,1.0,0.9615064870541635,-26152.49546816112,26155.505005024967,-0.004432328318216605,0.1500316712554195,3.0,0.0,0.15720419170174837,0.15720419170174837
516,1,2.1346518818608535,0.11618305711963471,-3.0887086238266583,-0.4335199982496127,-4.3313008737707435,-4.067918395613216,-26151.41578131897,15.0,1.0,0.8977907651023903,-26151.41578131897,26154.317295559667,-0.04297793322984944,0.2246983160803211,3.0,0.0,0.15720419170174837,0.15720419170174837
517,1,1.7978823598449212,0.09500018578984556,-3.148399193218806,-0.4189363996712082,-4.3014997098028145,-4.022842916586745,-26151.171237258015,15.0,1.0,0.9990775154130969,-26151.171237258015,26152.61129598507,-0.010719252011767821,-0.011170702124218224,4.0,0.0,0.15720419170174837,0.15720419170174837
518,1,1.6187064185767441,0.07366087885829287,-3.0250823831197957,-0.45280128468409864,-4.333359330187656,-4.089869794160678,-26150.970963304848,23.0,1.0,0.9690715042781075,-26150.970963304848,26153.874128890704,0.005814245479996316,0.07596689902857179,4.0,0.0,0.15720419170174837,0.15720419170174837
519,1,1.6396157896430958,0.08971053161692291,-3.0320698337013483,-0.4275645040523543,-4.158937303857412,-4.094327036938664,-26150.830477648153,15.0,1.0,0.9965703401921602,-26150.830477648153,26152.130187318166,-0.014552796372299781,0.01600970756044262,4.0,0.0,0.15720419170174837,0.15720419170174837
