iteration,chain,log_λ_xscale_base,λ_xshift_base,log_λ_yscale_base,log_λ_yshift_base,log_μ_base,log_δ_base,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1001,1,-1.1702464078500903,3.6996844565230402,-1.2124239149944966,0.06151741572580649,-2.133511893764571,-4.317514060930098,-384.3467536990006,63.0,1.0,0.7096264115931177,-384.3467536990006,390.65902797998757,0.05168694917887251,1.1879671962482803,5.0,0.0,0.07262116581666218,0.07262116581666218
1002,1,-0.966474847153599,3.1125375750794126,-1.283600870605068,0.04588379815978373,-2.159580028688515,-4.5716469878906345,-382.4649880513405,31.0,1.0,0.9993188419584526,-382.4649880513405,385.62826357114415,-0.10061566160743496,-0.22544421116685953,4.0,0.0,0.07262116581666218,0.07262116581666218
1003,1,-1.1746979862693059,-0.49361258484576,-3.000486053908775,-0.15212408508199377,-2.358265303304284,-3.6809032813734417,-383.0934131211158,63.0,1.0,0.7896298949992705,-383.0934131211158,390.9398293490262,0.07461441332930008,0.7325490771149248,6.0,0.0,0.07262116581666218,0.07262116581666218
1004,1,-1.0412070694327333,0.22109100942198234,-2.371622307180326,-0.0765225935723701,-1.7932388917664015,-4.148672933394107,-380.35247702680033,63.0,1.0,0.9374831205183769,-380.35247702680033,385.0904014148217,0.07081910121712554,-0.39494638729672715,5.0,0.0,0.07262116581666218,0.07262116581666218
1005,1,-1.5805728733789146,1.7047223586082112,-1.776798857115863,-0.2088934863255549,-2.670439421922656,-4.591644939718864,-380.98868434879773,63.0,1.0,0.9783062679824003,-380.98868434879773,382.12275525535597,-0.1022757282239013,-0.2220464369166848,6.0,0.0,0.07262116581666218,0.07262116581666218
1006,1,-0.8202648083911277,-1.9924915320326715,-1.678916260754009,-0.713423355276218,-1.970972337477831,-4.626112858391789,-380.0129749625072,63.0,1.0,0.9273631752021841,-380.0129749625072,383.7021188795217,0.002117314375254864,505.6121839549335,6.0,0.0,0.07262116581666218,0.07262116581666218
1007,1,0.05394032663949806,-1.9721030358847413,-1.9847055715325255,-0.8517270731148513,-2.9816017448031733,-4.124466469941867,-380.80902636182856,63.0,1.0,0.8458856699185827,-380.80902636182856,384.6721172076669,0.13918428825093088,0.7158943093558605,5.0,0.0,0.07262116581666218,0.07262116581666218
1008,1,-2.6635082858698564,-0.8171753043258254,-1.587691944130675,-0.19687024965920008,-1.3492604449325472,-4.257627986205684,-382.42187432125786,63.0,1.0,0.9639360428661541,-382.42187432125786,384.4045631446566,0.1462484098520349,-0.31711687039052094,6.0,0.0,0.07262116581666218,0.07262116581666218
1009,1,-2.2351561843894348,0.5834119540549688,-1.011389637558619,-0.4759403120701852,-1.939488445707013,-4.44387188698418,-380.6416416328887,63.0,1.0,0.7465038241026033,-380.6416416328887,383.51075589900086,-0.24789753364620992,10.89027293336676,5.0,0.0,0.07262116581666218,0.07262116581666218
1010,1,-1.9893432776260562,-0.5390879766180182,-1.1641038894101978,-0.9544896004924891,-2.292342411009797,-4.920522302747525,-383.19224767873106,31.0,1.0,0.8793844193794459,-383.19224767873106,384.47671120267137,0.24131855270735514,0.3116100983655201,5.0,0.0,0.07262116581666218,0.07262116581666218
1011,1,-1.8756527422457339,-0.5942074872096169,-1.3526797361205853,-0.7685181567925744,-2.511959223540239,-4.969160983265669,-382.1103334421494,63.0,1.0,0.9438902145786469,-382.1103334421494,384.5451740690885,-0.1968485246169962,-0.47128909294866617,5.0,0.0,0.07262116581666218,0.07262116581666218
1012,1,-2.1868998965852,0.07055466296560003,-1.704799930402149,-0.5861070917101601,-3.1415157354100076,-4.566195128020268,-381.05613654243865,63.0,1.0,0.9156279128520999,-381.05613654243865,383.83212704229794,0.04133892927973193,0.4058096687128909,5.0,0.0,0.07262116581666218,0.07262116581666218
1013,1,-1.9762396549169197,0.905087225591171,-1.1922108401325464,-0.7204131498300475,-3.4067404274627253,-4.162333194322913,-382.31251615607846,63.0,1.0,0.7892100720173523,-382.31251615607846,384.8168638503881,-0.030535693694048405,25.050518980245215,5.0,0.0,0.07262116581666218,0.07262116581666218
1014,1,-1.897489098864416,0.14578310982402243,-2.148052220198323,-0.5040768802973321,-4.015684249628421,-3.9364173522415276,-384.0102949237141,31.0,1.0,0.9959959575664253,-384.0102949237141,385.3353233233859,0.010128417493774577,-0.020078559551052422,5.0,0.0,0.07262116581666218,0.07262116581666218
1015,1,-0.4727275300071651,-1.8226671841437065,-2.3349582996152076,-0.48594022425026323,-2.558196202292949,-4.527060733859397,-380.2271287388843,31.0,1.0,0.9999526941840857,-380.2271287388843,384.518314352959,-0.024035833656512295,-0.029504189926342406,5.0,0.0,0.07262116581666218,0.07262116581666218
